bet_id,placed_at,season,week,game,legs,price,stake,p_model,p_final,close_price,status,pnl,note
76871697,2026-09-21T23:46:51+00:00,2026,2,NYG@LA,"[{""player"": ""Davante Adams"", ""stat"": ""receptions"", ""side"": ""under"", ""line"": 5.5}, {""player"": ""Colby Parkinson"", ""stat"": ""anytime_td""}, {""team"": ""LA"", ""market"": ""ml""}]",529,1.0,0.1339,0.1339,,loss,-1.0,"SGP; model fair +647, bet-if >= +684; FanDuel quoted +529"
af943cd0,2026-09-21T23:54:01+00:00,2026,2,NYG@LA,"[{""player"": ""Tyler Higbee"", ""stat"": ""receptions"", ""side"": ""over"", ""line"": 2.5}]",310,0.5,0.572,0.35,,loss,-0.5,alt 3+ receptions; model likely overrates (12 snaps wk1 treated as injury-shortened); lottery-size
